chart_image_url,claim_text
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/chartQA_multi_col_60912-test.png,The male population of Tunisia in 2019 was 5.8 million.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/plotQA_23071-test.png,The enrollment rates in primary and secondary education may have been influenced by various socio-economic factors that are not detailed in the chart.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/plotQA_29479-test.png,The number of bars on each tick of the X-axis varies significantly.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/chartQA_65934022004372-test.png,"The total population in Africa, North America, and South America exceeds that of Europe."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/chartQA_two_col_83203-test.png,Only 60% of Apple customers reported being very satisfied.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/plotQA_1467-test.png,The label of the X-axis is 'Years'.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/plotQA_21579-test.png,"The presence of grids in the graph may indicate a structured approach to data representation, but it does not clarify the specific trends or implications of the data presented."
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/chartQA_two_col_102898-test.png,The revenue share of Michael Kors may be influenced by factors such as market trends or consumer preferences that are not detailed in the chart.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/chartQA_56783352006090-test.png,South Sudan has the lowest access to electricity over the years compared to other countries.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/test/png/plotQA_1178-test.png,The difference between the highest and the lowest total amount earned by exporting goods and services in Uganda is only 1234567.89.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/figureQA_55737-train.png,The performance of Chartreuse may vary under different conditions or contexts.
https://raw.githubusercontent.com/eviestergio/ChartFact/refs/heads/main/seed_datasets_100/5_final_dataset_100-new/train/png/plotQA_37698-train.png,There are only 2 bars on the 2nd tick from the top.
